Country,q#3,q#4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14,q#15,q#16,population,median_age,# of people aged 65 older,# of people aged 70 older,economic performance,death rates due to heart disease,diabetes prevalence,#of female smokers,#of male smokers,handwashing facilities,hospital beds per thousand people,life expectancy,human development index
Marshall Islands,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59194.0,0.0,0.0,0.0,3819.202,557.793,30.53,0.0,0.0,82.502,2.7,73.7,0.704
Mauritania,18257.0,454.0,0.66,1.8,1.0252941176470596,0.08757256055363331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1195.0,344.54411764705884,86499.07158304499,254282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7038.0,0.0,7038.0,4649660.0,20.3,3.138,1.792,3597.633,232.347,2.42,0.0,0.0,15.95,0.0,64.92,0.546
Mauritius,1206.0,16.0,0.01,1.3,0.40706632653061214,0.12470185274364845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117323.0,0.0,117323.0,1271767.0,37.4,10.945,5.884,20292.745,224.644,22.02,3.2,40.7,0.0,3.4,74.99,0.804
Mexico,2328391.0,214947.0,0.85,1.93,1.1066666666666665,0.05266849087893864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,48287.0,12719.185416666667,136900674.71770397,6105209.0,0.01,0.53,0.3326021052631584,0.025373982732409987,1.9,100.0,8.984210526315815,275.2967822714678,12038498.0,5830079.0,16410034.0,128932753.0,29.3,6.857,4.321,17336.469,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779
Micronesia (country),1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115021.0,23.0,4.81,2.392,3299.464,454.343,12.02,0.0,0.0,0.0,0.0,67.88,0.62
Moldova,249139.0,5730.0,0.67,2.07,1.076876574307305,0.044128279476425857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108760.0,11494.0,120254.0,4033963.0,37.6,10.864,6.955,5189.972,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75
Monaco,2432.0,32.0,0.16,1.55,0.9725732899022809,0.10923539772305273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12758.0,11632.0,24390.0,39244.0,0.0,0.0,0.0,0.0,0.0,5.46,0.0,0.0,0.0,13.8,86.75,0.0
Mongolia,31339.0,80.0,0.23,1.56,0.861632653061225,0.19363990004164908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,644.0,57833.0,15796.62091503268,103371864.09158878,2630600.0,0.001,0.109,0.011670886075949374,0.0004222587726325909,9.1,5979.6,643.0721518987341,747066.1082118247,0.0,0.0,678692.0,3278292.0,28.6,4.031,2.421,11840.846,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737
Montenegro,96660.0,1465.0,-0.01,2.36,0.9169922879177367,0.19500149351378882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39636.0,20275.0,59911.0,628062.0,39.1,14.762,9.395,16409.288,387.305,10.08,44.0,47.9,0.0,3.861,76.88,0.829
Montserrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1293.0,616.0,1909.0,4999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.16,0.0
Morocco,509363.0,8992.0,0.74,1.91,1.0788944723618097,0.05708872755738482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25162.0,13667.685503685503,62343093.81264002,5712404.0,0.004,0.265,0.09026746987951795,0.004826523640586441,3.8,253.6,30.798072289156632,2302.8777312236907,4723635.0,4217485.0,8941120.0,36910558.0,29.6,6.769,4.209,7485.013,419.146,7.14,0.8,47.1,0.0,1.1,76.68,0.686
Mozambique,69665.0,807.0,0.72,1.57,1.0630459770114937,0.03538497489760869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-87.0,5923.0,1310.6701298701298,836903.3171597231,511476.0,0.003,0.336,0.0957538860103627,0.006742087096297892,3.0,370.6,22.454922279792722,1127.3183306934418,57305.0,0.0,57305.0,31255435.0,17.7,3.158,1.87,1136.103,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456
Myanmar,142712.0,3206.0,0.4,2.2,0.9630810810810803,0.1519094258582909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,83383.0,7817.50974025974,87103352.99016488,2482290.0,0.001,0.218,0.04130696202531648,0.002247643116087166,4.6,2531.5,285.9753164556962,221942.86540338115,1000000.0,40000.0,1040000.0,54409794.0,29.1,5.732,3.12,5591.597,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583
Namibia,47776.0,625.0,0.78,1.59,1.078184818481849,0.048851160561600646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2778.0,1125.6666666666667,402121.2558613656,381182.0,0.001,0.257,0.09429765013054832,0.0040871333365146605,3.9,937.1,31.261627906976695,6281.715329908071,11971.0,862.0,12833.0,2540916.0,22.0,3.552,2.085,9541.808,243.811,3.94,9.7,34.2,44.6,0.0,63.71,0.646
Nauru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,168.0,10834.0,0.0,0.0,0.0,12895.635,0.0,24.07,43.0,36.9,0.0,5.0,59.96,0.0
Nepal,300119.0,3164.0,0.57,2.16,1.1259375000000007,0.1374150301846591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20118.0,5765.5790754257905,18578102.759562157,2405017.0,0.001,0.26,0.07647203579418345,0.0052175870256094565,3.9,1179.5,44.418341708542734,11472.560090717405,1989248.0,0.0,1989248.0,29136808.0,25.0,5.809,3.212,2442.804,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602
Netherlands,1486205.0,17281.0,0.62,2.87,1.1210144927536243,0.14632988867884872,7.0,1424.0,426.98081534772183,120125.783804611,1.0,3284.0,1104.3557692307693,613312.6763128692,1.969,738.25,179.36198333333334,25201.219348683066,4.922,3232.552,920.4013166666667,600150.804911316,0.0,0.0,0.0,0.0,8598225.0,0.006,0.292,0.09029310344827586,0.00371893133174792,3.4,166.7,27.25,1326.2976724137923,3635235.0,943197.0,5128167.0,17134873.0,43.2,18.779,11.881,48472.545,109.361,5.29,24.4,27.3,0.0,3.32,82.28,0.944
New Zealand,2601.0,26.0,0.19,1.95,0.8780402010050263,0.08654892300699464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25005.0,4922.661721068249,14538822.443430861,2000842.0,0.0,0.04,0.002210144927536233,3.285680529300592e-05,24.9,27035.0,2180.70732323232,7927049.213961529,140580.0,42771.0,183351.0,4822233.0,37.9,15.322,9.72,36085.843,128.797,8.08,14.8,17.2,0.0,2.61,82.29,0.931
Nicaragua,6835.0,181.0,0.08,1.52,0.7434117647058861,0.3312565951557111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61625.0,0.0,61625.0,6624554.0,27.3,5.445,3.519,5321.444,137.016,11.47,0.0,0.0,0.0,0.9,74.48,0.66
Niger,5191.0,191.0,0.46,1.54,0.8962953367875647,0.07318290759483477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366.0,0.0,1366.0,24206636.0,15.1,2.553,1.378,926.0,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394
Nigeria,164719.0,2062.0,0.6,1.93,1.0436572890025568,0.06696386208881418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,504.0,29602.0,4333.672839506173,18891385.10901539,1870915.0,0.012,0.298,0.10059574468085125,0.004670214237211405,3.4,83.2,19.128457446808497,312.9198550673382,1167837.0,0.0,1167837.0,206139587.0,18.1,2.751,1.447,5338.454,181.013,2.42,0.6,10.8,41.949,0.0,54.69,0.539
North America,37166591.0,841172.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166395640.0,102793897.0,261659139.0,592072204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Macedonia,150588.0,4677.0,0.66,1.86,1.079974874371859,0.04734648178076307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,5569.0,1809.5384615384614,1272634.7357001966,708846.0,0.048,0.398,0.17344270833333342,0.009664168592664928,2.5,21.0,7.948177083333339,19.816298760308154,51853.0,0.0,51853.0,2083380.0,39.1,13.26,8.16,13111.214,322.688,10.08,0.0,0.0,0.0,4.28,75.8,0.774
Northern Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60642.0,48848.0,109490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norway,110612.0,736.0,0.6,3.06,1.089420289855072,0.12131657214870842,0.0,0.0,0.0,0.0,2.0,325.0,103.85326086956522,7483.456728497172,1.01,77.77,12.666393442622947,245.21109518946534,2.02,290.879,66.65990163934424,4793.670080088686,636.0,37943.0,12888.344559585492,83417520.8942321,4974901.0,0.002,0.068,0.01743799472295512,0.00016582926880208277,14.8,607.3,123.19366754617418,15758.619959900021,1189900.0,306845.0,1496745.0,5421242.0,39.7,16.821,10.813,64800.057,114.316,5.31,19.6,20.7,0.0,3.6,82.4,0.957
Oceania,43074.0,1041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359623.0,42771.0,2177177.0,42677809.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oman,188816.0,1977.0,0.63,1.56,1.1656345177664984,0.04127789687958973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1314.0,6173.0,3459.310344827586,774455.4554102259,0.0,0.28,0.361,0.33064705882352935,0.00026673817762399085,2.8,3.6,3.0333333333333354,0.02614379084967321,198563.0,46258.0,244821.0,5106622.0,30.7,2.355,1.53,37960.709,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813
Pakistan,800452.0,17187.0,0.65,2.47,1.111135802469136,0.07424759884163983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,68002.0,27426.213333333333,193191170.74915555,11538771.0,0.015,0.256,0.07798019801980186,0.0029876184197627606,3.9,68.7,21.162871287128702,239.40713631016604,1300000.0,0.0,1300000.0,220892331.0,23.5,4.495,2.78,5034.708,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557
